NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables. 
Product Type: Annual Tide Prediction 
StationName: PORT TOWNSEND
State: WA
Stationid: 9444900
Prediction Type: Harmonic
From: 20170101 12:00AM - 20171231 11:59PM
Units: feet(ft) also in centimeters(cm)
Time Zone: LST/LDT
Datum: MLLW
Interval Type: High/Low Tide Predictions
 
Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2017/01/01	Sun	07:20 AM	9.3		283		H
2017/01/01	Sun	12:27 PM	6.3		192		L
2017/01/01	Sun	05:05 PM	7.2		219		H
2017/01/01	Sun	11:57 PM	-0.7		-21		L
2017/01/02	Mon	07:53 AM	9.3		283		H
2017/01/02	Mon	01:20 PM	5.8		177		L
2017/01/02	Mon	06:00 PM	6.7		204		H
2017/01/03	Tue	12:38 AM	-0.1		-3		L
2017/01/03	Tue	08:27 AM	9.3		283		H
2017/01/03	Tue	02:17 PM	5.1		155		L
2017/01/03	Tue	07:05 PM	6.2		189		H
2017/01/04	Wed	01:22 AM	0.8		24		L
2017/01/04	Wed	09:02 AM	9.3		283		H
2017/01/04	Wed	03:16 PM	4.2		128		L
2017/01/04	Wed	08:24 PM	5.7		174		H
2017/01/05	Thu	02:10 AM	1.9		58		L
2017/01/05	Thu	09:37 AM	9.3		283		H
2017/01/05	Thu	04:13 PM	3.1		94		L
2017/01/05	Thu	09:59 PM	5.4		165		H
2017/01/06	Fri	03:05 AM	3.2		98		L
2017/01/06	Fri	10:14 AM	9.2		280		H
2017/01/06	Fri	05:07 PM	1.9		58		L
2017/01/06	Fri	11:58 PM	5.7		174		H
2017/01/07	Sat	04:09 AM	4.4		134		L
2017/01/07	Sat	10:53 AM	9.2		280		H
2017/01/07	Sat	05:57 PM	0.7		21		L
2017/01/08	Sun	01:45 AM	6.6		201		H
2017/01/08	Sun	05:19 AM	5.4		165		L
2017/01/08	Sun	11:35 AM	9.2		280		H
2017/01/08	Sun	06:45 PM	-0.4		-12		L
2017/01/09	Mon	02:54 AM	7.6		232		H
2017/01/09	Mon	06:30 AM	6.1		186		L
2017/01/09	Mon	12:20 PM	9.2		280		H
2017/01/09	Mon	07:32 PM	-1.4		-43		L
2017/01/10	Tue	03:46 AM	8.5		259		H
2017/01/10	Tue	07:35 AM	6.5		198		L
2017/01/10	Tue	01:08 PM	9.2		280		H
2017/01/10	Tue	08:18 PM	-2.0		-61		L
2017/01/11	Wed	04:31 AM	9.1		277		H
2017/01/11	Wed	08:35 AM	6.6		201		L
2017/01/11	Wed	01:58 PM	9.1		277		H
2017/01/11	Wed	09:03 PM	-2.3		-70		L
2017/01/12	Thu	05:13 AM	9.5		290		H
2017/01/12	Thu	09:32 AM	6.5		198		L
2017/01/12	Thu	02:50 PM	8.8		268		H
2017/01/12	Thu	09:47 PM	-2.3		-70		L
2017/01/13	Fri	05:54 AM	9.7		296		H
2017/01/13	Fri	10:28 AM	6.2		189		L
2017/01/13	Fri	03:42 PM	8.5		259		H
2017/01/13	Fri	10:32 PM	-1.9		-58		L
2017/01/14	Sat	06:32 AM	9.7		296		H
2017/01/14	Sat	11:24 AM	5.9		180		L
