NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables. 
Product Type: Annual Tide Prediction 
StationName: Mystery Bay, Marrowstone Island
State: WA
Stationid: 9444971
ReferencedToStationName: Port Townsend
ReferenceToStationId: 9444900
HeightOffsetLow: *0.99
HeightOffsetHigh: * 0.95
TimeOffsetLow: 52
TimeOffsetHigh: 15
Prediction Type: Subordinate
From: 20161231 12:00AM - 20171231 11:59PM
Units: feet(ft) also in centimeters(cm)
Time Zone: LST/LDT
Datum: MLLW
Interval Type: High/Low Tide Predictions
 
Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2016/12/31	Sat	06:59 AM	8.8		268		H
2016/12/31	Sat	12:31 PM	6.4		195		L
2016/12/31	Sat	04:38 PM	7.1		216		H
2017/01/01	Sun	12:08 AM	-0.9		-27		L
2017/01/01	Sun	07:35 AM	8.8		268		H
2017/01/01	Sun	01:19 PM	6.2		189		L
2017/01/01	Sun	05:20 PM	6.8		207		H
2017/01/02	Mon	12:49 AM	-0.7		-21		L
2017/01/02	Mon	08:08 AM	8.9		271		H
2017/01/02	Mon	02:12 PM	5.7		174		L
2017/01/02	Mon	06:15 PM	6.4		195		H
2017/01/03	Tue	01:30 AM	-0.1		-3		L
2017/01/03	Tue	08:42 AM	8.9		271		H
2017/01/03	Tue	03:09 PM	5.1		155		L
2017/01/03	Tue	07:20 PM	5.9		180		H
2017/01/04	Wed	02:14 AM	0.8		24		L
2017/01/04	Wed	09:17 AM	8.8		268		H
2017/01/04	Wed	04:08 PM	4.2		128		L
2017/01/04	Wed	08:39 PM	5.4		165		H
2017/01/05	Thu	03:02 AM	1.9		58		L
2017/01/05	Thu	09:52 AM	8.8		268		H
2017/01/05	Thu	05:05 PM	3.1		94		L
2017/01/05	Thu	10:14 PM	5.2		158		H
2017/01/06	Fri	03:57 AM	3.1		94		L
2017/01/06	Fri	10:29 AM	8.8		268		H
2017/01/06	Fri	05:59 PM	1.9		58		L
2017/01/07	Sat	12:13 AM	5.4		165		H
2017/01/07	Sat	05:01 AM	4.3		131		L
2017/01/07	Sat	11:08 AM	8.8		268		H
2017/01/07	Sat	06:49 PM	0.7		21		L
2017/01/08	Sun	02:00 AM	6.3		192		H
2017/01/08	Sun	06:11 AM	5.3		162		L
2017/01/08	Sun	11:50 AM	8.8		268		H
2017/01/08	Sun	07:37 PM	-0.4		-12		L
2017/01/09	Mon	03:09 AM	7.2		219		H
2017/01/09	Mon	07:22 AM	6.1		186		L
2017/01/09	Mon	12:35 PM	8.8		268		H
2017/01/09	Mon	08:24 PM	-1.4		-43		L
2017/01/10	Tue	04:01 AM	8.1		247		H
2017/01/10	Tue	08:27 AM	6.4		195		L
2017/01/10	Tue	01:23 PM	8.7		265		H
2017/01/10	Tue	09:10 PM	-2.0		-61		L
2017/01/11	Wed	04:46 AM	8.7		265		H
