NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables. 
Product Type: Annual Tide Prediction 
StationName: Whitney Point, Dabob Bay
State: WA
Stationid: 9445246
ReferencedToStationName: Seattle
ReferenceToStationId: 9447130
HeightOffsetLow: *1.06
HeightOffsetHigh: * 1.01
TimeOffsetLow: 2
TimeOffsetHigh: -5
Prediction Type: Subordinate
From: 20161231 12:00AM - 20171231 11:59PM
Units: feet(ft) also in centimeters(cm)
Time Zone: LST/LDT
Datum: MLLW
Interval Type: High/Low Tide Predictions
 
Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2016/12/31	Sat	06:49 AM	12.4		378		H
2016/12/31	Sat	12:37 PM	7.3		223		L
2016/12/31	Sat	05:18 PM	10.1		308		H
2017/01/01	Sun	12:18 AM	-1.3		-40		L
2017/01/01	Sun	07:26 AM	12.5		381		H
2017/01/01	Sun	01:19 PM	7.1		216		L
2017/01/01	Sun	06:00 PM	9.9		302		H
2017/01/02	Mon	12:58 AM	-0.8		-24		L
2017/01/02	Mon	08:01 AM	12.6		384		H
2017/01/02	Mon	02:05 PM	6.5		198		L
2017/01/02	Mon	06:51 PM	9.5		290		H
2017/01/03	Tue	01:40 AM	0.0		0		L
2017/01/03	Tue	08:38 AM	12.6		384		H
2017/01/03	Tue	02:56 PM	5.8		177		L
2017/01/03	Tue	07:51 PM	9.0		274		H
2017/01/04	Wed	02:25 AM	1.2		37		L
2017/01/04	Wed	09:18 AM	12.6		384		H
2017/01/04	Wed	03:51 PM	4.9		149		L
2017/01/04	Wed	09:02 PM	8.5		259		H
2017/01/05	Thu	03:14 AM	2.6		79		L
2017/01/05	Thu	10:00 AM	12.5		381		H
2017/01/05	Thu	04:50 PM	3.7		113		L
2017/01/05	Thu	10:27 PM	8.3		253		H
2017/01/06	Fri	04:11 AM	4.2		128		L
2017/01/06	Fri	10:44 AM	12.4		378		H
2017/01/06	Fri	05:50 PM	2.4		73		L
2017/01/07	Sat	12:01 AM	8.6		262		H
2017/01/07	Sat	05:20 AM	5.7		174		L
2017/01/07	Sat	11:32 AM	12.4		378		H
2017/01/07	Sat	06:46 PM	0.9		27		L
2017/01/08	Sun	01:36 AM	9.4		287		H
2017/01/08	Sun	06:37 AM	6.8		207		L
2017/01/08	Sun	12:21 PM	12.3		375		H
2017/01/08	Sun	07:39 PM	-0.4		-12		L
2017/01/09	Mon	02:54 AM	10.5		320		H
2017/01/09	Mon	07:53 AM	7.4		226		L
2017/01/09	Mon	01:11 PM	12.3		375		H
2017/01/09	Mon	08:29 PM	-1.6		-49		L
2017/01/10	Tue	03:53 AM	11.5		351		H
2017/01/10	Tue	09:00 AM	7.6		232		L
2017/01/10	Tue	02:02 PM	12.2		372		H
2017/01/10	Tue	09:17 PM	-2.4		-73		L
2017/01/11	Wed	04:42 AM	12.2		372		H
2017/01/11	Wed	09:59 AM	7.5		229		L
2017/01/11	Wed	02:53 PM	12.1		369		H
2017/01/11	Wed	10:03 PM	-2.8		-85		L
2017/01/12	Thu	05:25 AM	12.7		387		H
2017/01/12	Thu	10:53 AM	7.2		219		L
