NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables. 
Product Type: Annual Tide Prediction 
StationName: Triton Head
State: WA
Stationid: 9445326
ReferencedToStationName: Seattle
ReferenceToStationId: 9447130
HeightOffsetLow: *1.02
HeightOffsetHigh: * 1.00
TimeOffsetLow: 6
TimeOffsetHigh: -6
Prediction Type: Subordinate
From: 20161231 12:00AM - 20171231 11:59PM
Units: feet(ft) also in centimeters(cm)
Time Zone: LST/LDT
Datum: MLLW
Interval Type: High/Low Tide Predictions
 
Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2016/12/31	Sat	06:48 AM	12.3		375		H
2016/12/31	Sat	12:41 PM	7.0		213		L
2016/12/31	Sat	05:17 PM	10.0		305		H
2017/01/01	Sun	12:22 AM	-1.2		-37		L
2017/01/01	Sun	07:25 AM	12.4		378		H
2017/01/01	Sun	01:23 PM	6.8		207		L
2017/01/01	Sun	05:59 PM	9.8		299		H
2017/01/02	Mon	01:02 AM	-0.8		-24		L
2017/01/02	Mon	08:00 AM	12.5		381		H
2017/01/02	Mon	02:09 PM	6.3		192		L
2017/01/02	Mon	06:50 PM	9.4		287		H
2017/01/03	Tue	01:44 AM	0.0		0		L
2017/01/03	Tue	08:37 AM	12.5		381		H
2017/01/03	Tue	03:00 PM	5.6		171		L
2017/01/03	Tue	07:50 PM	8.9		271		H
2017/01/04	Wed	02:29 AM	1.2		37		L
2017/01/04	Wed	09:17 AM	12.5		381		H
2017/01/04	Wed	03:55 PM	4.7		143		L
2017/01/04	Wed	09:01 PM	8.4		256		H
2017/01/05	Thu	03:18 AM	2.5		76		L
2017/01/05	Thu	09:59 AM	12.4		378		H
2017/01/05	Thu	04:54 PM	3.6		110		L
2017/01/05	Thu	10:26 PM	8.2		250		H
2017/01/06	Fri	04:15 AM	4.1		125		L
2017/01/06	Fri	10:43 AM	12.3		375		H
2017/01/06	Fri	05:54 PM	2.3		70		L
2017/01/07	Sat	12:00 AM	8.5		259		H
