NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables. 
Product Type: Annual Tide Prediction 
StationName: Des Moines, East Passage
State: WA
Stationid: 9446248
ReferencedToStationName: Seattle
ReferenceToStationId: 9447130
HeightOffsetLow: *1.01
HeightOffsetHigh: * 1.03
TimeOffsetLow: 8
TimeOffsetHigh: 5
Prediction Type: Subordinate
From: 20161231 12:00AM - 20171231 11:59PM
Units: feet(ft) also in centimeters(cm)
Time Zone: LST/LDT
Datum: MLLW
Interval Type: High/Low Tide Predictions
 
Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2016/12/31	Sat	06:59 AM	12.7		387		H
2016/12/31	Sat	12:43 PM	6.9		210		L
2016/12/31	Sat	05:28 PM	10.3		314		H
2017/01/01	Sun	12:24 AM	-1.2		-37		L
2017/01/01	Sun	07:36 AM	12.8		390		H
2017/01/01	Sun	01:25 PM	6.7		204		L
2017/01/01	Sun	06:10 PM	10.1		308		H
2017/01/02	Mon	01:04 AM	-0.8		-24		L
2017/01/02	Mon	08:11 AM	12.9		393		H
2017/01/02	Mon	02:11 PM	6.2		189		L
2017/01/02	Mon	07:01 PM	9.6		293		H
2017/01/03	Tue	01:46 AM	0.0		0		L
2017/01/03	Tue	08:48 AM	12.9		393		H
2017/01/03	Tue	03:02 PM	5.5		168		L
2017/01/03	Tue	08:01 PM	9.1		277		H
2017/01/04	Wed	02:31 AM	1.1		34		L
2017/01/04	Wed	09:28 AM	12.9		393		H
2017/01/04	Wed	03:57 PM	4.6		140		L
2017/01/04	Wed	09:12 PM	8.7		265		H
2017/01/05	Thu	03:20 AM	2.5		76		L
2017/01/05	Thu	10:10 AM	12.8		390		H
2017/01/05	Thu	04:56 PM	3.5		107		L
2017/01/05	Thu	10:37 PM	8.5		259		H
2017/01/06	Fri	04:17 AM	4.0		122		L
2017/01/06	Fri	10:54 AM	12.7		387		H
2017/01/06	Fri	05:56 PM	2.3		70		L
2017/01/07	Sat	12:11 AM	8.7		265		H
2017/01/07	Sat	05:26 AM	5.4		165		L
2017/01/07	Sat	11:42 AM	12.6		384		H
2017/01/07	Sat	06:52 PM	0.9		27		L
2017/01/08	Sun	01:46 AM	9.6		293		H
2017/01/08	Sun	06:43 AM	6.5		198		L
2017/01/08	Sun	12:31 PM	12.5		381		H
2017/01/08	Sun	07:45 PM	-0.4		-12		L
2017/01/09	Mon	03:04 AM	10.7		326		H
2017/01/09	Mon	07:59 AM	7.1		216		L
2017/01/09	Mon	01:21 PM	12.5		381		H
2017/01/09	Mon	08:35 PM	-1.5		-46		L
2017/01/10	Tue	04:03 AM	11.7		357		H
2017/01/10	Tue	09:06 AM	7.3		223		L
2017/01/10	Tue	02:12 PM	12.5		381		H
2017/01/10	Tue	09:23 PM	-2.3		-70		L
2017/01/11	Wed	04:52 AM	12.5		381		H
2017/01/11	Wed	10:05 AM	7.2		219		L
2017/01/11	Wed	03:03 PM	12.3		375		H
2017/01/11	Wed	10:09 PM	-2.7		-82		L
2017/01/12	Thu	05:35 AM	13.0		396		H
2017/01/12	Thu	10:59 AM	6.9		210		L
2017/01/12	Thu	03:54 PM	12.1		369		H
2017/01/12	Thu	10:54 PM	-2.7		-82		L
2017/01/13	Fri	06:16 AM	13.2		402		H
2017/01/13	Fri	11:50 AM	6.5		198		L
2017/01/13	Fri	04:45 PM	11.7		357		H
2017/01/13	Fri	11:38 PM	-2.3		-70		L
2017/01/14	Sat	06:55 AM	13.3		405		H
2017/01/14	Sat	12:40 PM	6.1		186		L
2017/01/14	Sat	05:37 PM	11.1		338		H
2017/01/15	Sun	12:22 AM	-1.5		-46		L
2017/01/15	Sun	07:32 AM	13.3		405		H
2017/01/15	Sun	01:31 PM	5.6		171		L
2017/01/15	Sun	06:31 PM	10.5		320		H
2017/01/16	Mon	01:06 AM	-0.4		-12		L
2017/01/16	Mon	08:09 AM	13.1		399		H
