NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables. 
Product Type: Annual Tide Prediction 
StationName: SEATTLE (Madison St.), Elliott Bay
State: WA
Stationid: 9447130
Prediction Type: Harmonic
From: 20170101 12:00AM - 20171231 11:59PM
Units: feet(ft) also in centimeters(cm)
Time Zone: LST/LDT
Datum: MLLW
Interval Type: High/Low Tide Predictions
 
Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2017/01/01	Sun	12:16 AM	-1.2		-37		L
2017/01/01	Sun	07:31 AM	12.4		378		H
2017/01/01	Sun	01:17 PM	6.7		204		L
2017/01/01	Sun	06:05 PM	9.8		299		H
2017/01/02	Mon	12:56 AM	-0.7		-21		L
2017/01/02	Mon	08:06 AM	12.5		381		H
2017/01/02	Mon	02:03 PM	6.1		186		L
2017/01/02	Mon	06:56 PM	9.4		287		H
2017/01/03	Tue	01:38 AM	0.0		0		L
2017/01/03	Tue	08:43 AM	12.5		381		H
2017/01/03	Tue	02:54 PM	5.5		168		L
2017/01/03	Tue	07:56 PM	8.9		271		H
2017/01/04	Wed	02:23 AM	1.1		34		L
2017/01/04	Wed	09:23 AM	12.5		381		H
2017/01/04	Wed	03:49 PM	4.6		140		L
2017/01/04	Wed	09:07 PM	8.4		256		H
2017/01/05	Thu	03:12 AM	2.5		76		L
2017/01/05	Thu	10:05 AM	12.4		378		H
2017/01/05	Thu	04:48 PM	3.5		107		L
2017/01/05	Thu	10:32 PM	8.2		250		H
2017/01/06	Fri	04:09 AM	4.0		122		L
2017/01/06	Fri	10:49 AM	12.3		375		H
2017/01/06	Fri	05:48 PM	2.2		67		L
2017/01/07	Sat	12:06 AM	8.5		259		H
2017/01/07	Sat	05:18 AM	5.4		165		L
2017/01/07	Sat	11:37 AM	12.2		372		H
2017/01/07	Sat	06:44 PM	0.9		27		L
2017/01/08	Sun	01:41 AM	9.3		283		H
2017/01/08	Sun	06:35 AM	6.4		195		L
2017/01/08	Sun	12:26 PM	12.2		372		H
2017/01/08	Sun	07:37 PM	-0.4		-12		L
2017/01/09	Mon	02:59 AM	10.4		317		H
2017/01/09	Mon	07:51 AM	7.0		213		L
2017/01/09	Mon	01:16 PM	12.1		369		H
2017/01/09	Mon	08:27 PM	-1.5		-46		L
2017/01/10	Tue	03:58 AM	11.3		344		H
2017/01/10	Tue	08:58 AM	7.2		219		L
2017/01/10	Tue	02:07 PM	12.1		369		H
2017/01/10	Tue	09:15 PM	-2.3		-70		L
2017/01/11	Wed	04:47 AM	12.1		369		H
2017/01/11	Wed	09:57 AM	7.1		216		L
2017/01/11	Wed	02:58 PM	12.0		366		H
2017/01/11	Wed	10:01 PM	-2.7		-82		L
2017/01/12	Thu	05:30 AM	12.6		384		H
2017/01/12	Thu	10:51 AM	6.8		207		L
2017/01/12	Thu	03:49 PM	11.7		357		H
2017/01/12	Thu	10:46 PM	-2.7		-82		L
2017/01/13	Fri	06:11 AM	12.8		390		H
2017/01/13	Fri	11:42 AM	6.4		195		L
2017/01/13	Fri	04:40 PM	11.3		344		H
2017/01/13	Fri	11:30 PM	-2.2		-67		L
2017/01/14	Sat	06:50 AM	12.9		393		H
2017/01/14	Sat	12:32 PM	6.0		183		L
2017/01/14	Sat	05:32 PM	10.8		329		H
2017/01/15	Sun	12:14 AM	-1.5		-46		L
2017/01/15	Sun	07:27 AM	12.9		393		H
2017/01/15	Sun	01:23 PM	5.5		168		L
2017/01/15	Sun	06:26 PM	10.2		311		H
2017/01/16	Mon	12:58 AM	-0.4		-12		L
2017/01/16	Mon	08:04 AM	12.7		387		H
2017/01/16	Mon	02:14 PM	5.0		152		L
2017/01/16	Mon	07:22 PM	9.4		287		H
2017/01/17	Tue	01:41 AM	0.9		27		L
2017/01/17	Tue	08:42 AM	12.4		378		H
2017/01/17	Tue	03:07 PM	4.5		137		L
2017/01/17	Tue	08:24 PM	8.8		268		H
2017/01/18	Wed	02:26 AM	2.4		73		L
2017/01/18	Wed	09:20 AM	12.1		369		H
2017/01/18	Wed	04:03 PM	3.9		119		L
2017/01/18	Wed	09:36 PM	8.2		250		H
2017/01/19	Thu	03:13 AM	3.9		119		L
2017/01/19	Thu	10:00 AM	11.7		357		H
2017/01/19	Thu	05:00 PM	3.3		101		L
2017/01/19	Thu	11:03 PM	8.0		244		H
2017/01/20	Fri	04:10 AM	5.4		165		L
2017/01/20	Fri	10:42 AM	11.3		344		H
2017/01/20	Fri	05:56 PM	2.6		79		L
2017/01/21	Sat	12:51 AM	8.3		253		H
2017/01/21	Sat	05:23 AM	6.6		201		L
2017/01/21	Sat	11:28 AM	10.9		332		H
2017/01/21	Sat	06:48 PM	1.9		58		L
2017/01/22	Sun	02:24 AM	9.1		277		H
2017/01/22	Sun	06:53 AM	7.4		226		L
2017/01/22	Sun	12:15 PM	10.6		323		H
2017/01/22	Sun	07:33 PM	1.2		37		L
2017/01/23	Mon	03:25 AM	9.9		302		H
2017/01/23	Mon	08:12 AM	7.7		235		L
2017/01/23	Mon	01:03 PM	10.4		317		H
2017/01/23	Mon	08:14 PM	0.6		18		L
2017/01/24	Tue	04:07 AM	10.6		323		H
2017/01/24	Tue	09:10 AM	7.7		235		L
2017/01/24	Tue	01:48 PM	10.3		314		H
2017/01/24	Tue	08:52 PM	0.0		0		L
2017/01/25	Wed	04:40 AM	11.1		338		H
2017/01/25	Wed	09:52 AM	7.5		229		L
2017/01/25	Wed	02:30 PM	10.4		317		H
2017/01/25	Wed	09:28 PM	-0.5		-15		L
2017/01/26	Thu	05:07 AM	11.5		351		H
2017/01/26	Thu	10:27 AM	7.3		223		L
2017/01/26	Thu	03:11 PM	10.4		317		H
2017/01/26	Thu	10:05 PM	-0.9		-27		L
2017/01/27	Fri	05:32 AM	11.8		360		H
2017/01/27	Fri	10:58 AM	7.0		213		L
2017/01/27	Fri	03:50 PM	10.5		320		H
2017/01/27	Fri	10:41 PM	-1.1		-34		L
2017/01/28	Sat	05:57 AM	12.0		366		H
2017/01/28	Sat	11:31 AM	6.5		198		L
2017/01/28	Sat	04:31 PM	10.5		320		H
2017/01/28	Sat	11:19 PM	-1.1		-34		L
2017/01/29	Sun	06:25 AM	12.3		375		H
2017/01/29	Sun	12:07 PM	6.0		183		L
2017/01/29	Sun	05:15 PM	10.5		320		H
2017/01/29	Sun	11:57 PM	-0.8		-24		L
2017/01/30	Mon	06:55 AM	12.4		378		H
2017/01/30	Mon	12:46 PM	5.3		162		L
2017/01/30	Mon	06:02 PM	10.3		314		H
2017/01/31	Tue	12:37 AM	-0.2		-6		L
2017/01/31	Tue	07:27 AM	12.6		384		H
2017/01/31	Tue	01:30 PM	4.5		137		L
2017/01/31	Tue	06:54 PM	10.0		305		H
2017/02/01	Wed	01:18 AM	0.8		24		L
2017/02/01	Wed	08:02 AM	12.6		384		H
2017/02/01	Wed	02:17 PM	3.7		113		L
2017/02/01	Wed	07:53 PM	9.6		293		H
2017/02/02	Thu	02:02 AM	2.1		64		L
2017/02/02	Thu	08:40 AM	12.5		381		H
2017/02/02	Thu	03:10 PM	2.9		88		L
2017/02/02	Thu	09:01 PM	9.1		277		H
2017/02/03	Fri	02:50 AM	3.6		110		L
2017/02/03	Fri	09:21 AM	12.3		375		H
2017/02/03	Fri	04:07 PM	2.1		64		L
2017/02/03	Fri	10:22 PM	8.9		271		H
2017/02/04	Sat	03:48 AM	5.1		155		L
2017/02/04	Sat	10:08 AM	12.0		366		H
2017/02/04	Sat	05:09 PM	1.2		37		L
2017/02/05	Sun	12:01 AM	9.0		274		H
2017/02/05	Sun	05:02 AM	6.4		195		L
2017/02/05	Sun	11:00 AM	11.7		357		H
2017/02/05	Sun	06:12 PM	0.4		12		L
2017/02/06	Mon	01:44 AM	9.7		296		H
2017/02/06	Mon	06:31 AM	7.2		219		L
2017/02/06	Mon	11:59 AM	11.4		347		H
2017/02/06	Mon	07:13 PM	-0.4		-12		L
2017/02/07	Tue	02:59 AM	10.6		323		H
2017/02/07	Tue	07:55 AM	7.3		223		L
2017/02/07	Tue	01:00 PM	11.3		344		H
2017/02/07	Tue	08:09 PM	-1.1		-34		L
2017/02/08	Wed	03:52 AM	11.4		347		H
2017/02/08	Wed	09:02 AM	7.0		213		L
2017/02/08	Wed	02:00 PM	11.3		344		H
2017/02/08	Wed	09:00 PM	-1.5		-46		L
2017/02/09	Thu	04:34 AM	12.0		366		H
2017/02/09	Thu	09:56 AM	6.4		195		L
2017/02/09	Thu	02:56 PM	11.2		341		H
2017/02/09	Thu	09:48 PM	-1.6		-49		L
2017/02/10	Fri	05:11 AM	12.3		375		H
2017/02/10	Fri	10:43 AM	5.8		177		L
2017/02/10	Fri	03:49 PM	11.2		341		H
2017/02/10	Fri	10:32 PM	-1.4		-43		L
2017/02/11	Sat	05:44 AM	12.4		378		H
2017/02/11	Sat	11:26 AM	5.2		158		L
2017/02/11	Sat	04:39 PM	11.0		335		H
