NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables. 
Product Type: Annual Tide Prediction 
StationName: Zelatched Point, Dabob Bay
State: WA
Stationid: 9445269
ReferencedToStationName: Seattle
ReferenceToStationId: 9447130
HeightOffsetLow: *1.02
HeightOffsetHigh: * 1.00
TimeOffsetLow: -5
TimeOffsetHigh: -9
Prediction Type: Subordinate
From: 20161231 12:00AM - 20171231 11:59PM
Units: feet(ft) also in centimeters(cm)
Time Zone: LST/LDT
Datum: MLLW
Interval Type: High/Low Tide Predictions
 
Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2016/12/31	Sat	06:45 AM	12.3		375		H
2016/12/31	Sat	12:30 PM	7.0		213		L
2016/12/31	Sat	05:14 PM	10.0		305		H
2017/01/01	Sun	12:11 AM	-1.2		-37		L
2017/01/01	Sun	07:22 AM	12.4		378		H
2017/01/01	Sun	01:12 PM	6.8		207		L
2017/01/01	Sun	05:56 PM	9.8		299		H
2017/01/02	Mon	12:51 AM	-0.8		-24		L
2017/01/02	Mon	07:57 AM	12.5		381		H
2017/01/02	Mon	01:58 PM	6.3		192		L
2017/01/02	Mon	06:47 PM	9.4		287		H
2017/01/03	Tue	01:33 AM	0.0		0		L
2017/01/03	Tue	08:34 AM	12.5		381		H
2017/01/03	Tue	02:49 PM	5.6		171		L
2017/01/03	Tue	07:47 PM	8.9		271		H
2017/01/04	Wed	02:18 AM	1.2		37		L
2017/01/04	Wed	09:14 AM	12.5		381		H
2017/01/04	Wed	03:44 PM	4.7		143		L
2017/01/04	Wed	08:58 PM	8.4		256		H
2017/01/05	Thu	03:07 AM	2.5		76		L
2017/01/05	Thu	09:56 AM	12.4		378		H
2017/01/05	Thu	04:43 PM	3.6		110		L
2017/01/05	Thu	10:23 PM	8.2		250		H
2017/01/06	Fri	04:04 AM	4.1		125		L
2017/01/06	Fri	10:40 AM	12.3		375		H
2017/01/06	Fri	05:43 PM	2.3		70		L
2017/01/06	Fri	11:57 PM	8.5		259		H
2017/01/07	Sat	05:13 AM	5.5		168		L
2017/01/07	Sat	11:28 AM	12.2		372		H
2017/01/07	Sat	06:39 PM	0.9		27		L
2017/01/08	Sun	01:32 AM	9.3		283		H
2017/01/08	Sun	06:30 AM	6.5		198		L
2017/01/08	Sun	12:17 PM	12.2		372		H
2017/01/08	Sun	07:32 PM	-0.4		-12		L
2017/01/09	Mon	02:50 AM	10.4		317		H
2017/01/09	Mon	07:46 AM	7.1		216		L
2017/01/09	Mon	01:07 PM	12.1		369		H
2017/01/09	Mon	08:22 PM	-1.5		-46		L
2017/01/10	Tue	03:49 AM	11.3		344		H
2017/01/10	Tue	08:53 AM	7.3		223		L
